household_id,crop_code,crop_name,crop_domain,disposition_share1_pct_unconfirmed,disposition_share2_pct_unconfirmed,disposition_share3_pct_unconfirmed,disposition_share4_pct_unconfirmed,disposition_share5_pct_unconfirmed,disposition_share6_pct_unconfirmed,disposition_total_check_pct,ph_saq07,storage_detail1_unconfirmed,storage_detail2_unconfirmed,storage_flag2_unconfirmed,storage_flag3_unconfirmed,storage_flag4_unconfirmed,storage_flag_unconfirmed,storage_qty1_unconfirmed,storage_qty1_unit_unconfirmed,storage_qty2_unconfirmed,storage_qty2_unit_unconfirmed,storage_qty3_unconfirmed,storage_qty3_unit_unconfirmed,storage_qty4_unconfirmed,storage_qty4_unit_unconfirmed,storage_qty5_unconfirmed,storage_qty5_unit_unconfirmed,storage_qty6_unconfirmed,storage_qty6_unit_unconfirmed,storage_qty7_unconfirmed,storage_qty7_unit_unconfirmed,loss_detail_a_unconfirmed,loss_detail_b_unconfirmed,loss_detail_c_unconfirmed,loss_detail_d_unconfirmed,loss_detail_e_unconfirmed,loss_detail_f_unconfirmed,loss_detail_g_unconfirmed,loss_detail_h_unconfirmed,loss_detail_i_unconfirmed,loss_detail_j_unconfirmed,loss_detail_k_unconfirmed,loss_detail_ka_unconfirmed,loss_detail_l_unconfirmed,loss_detail_la_unconfirmed,loss_detail_m_unconfirmed,loss_detail_ma_unconfirmed,loss_detail_n_unconfirmed,loss_detail_na_unconfirmed,loss_detail_o_unconfirmed,loss_detail_oa_unconfirmed,loss_detail_p_unconfirmed,loss_detail_pa_unconfirmed,loss_detail_q_unconfirmed,loss_detail_r_unconfirmed,loss_detail_s_unconfirmed,loss_detail_t_unconfirmed,loss_detail_u_unconfirmed,loss_detail_v_unconfirmed,loss_detail_w_unconfirmed,loss_detail_x_unconfirmed,loss_detail_y_unconfirmed,loss_detail_z_unconfirmed,loss_extra_a_unconfirmed,loss_extra_b_unconfirmed,loss_extra_c_unconfirmed,loss_extra_d_unconfirmed,loss_extra_e_unconfirmed,loss_extra_f_unconfirmed,loss_reason1_occurred,loss_reason1_qty,loss_reason1_unit,loss_reason2_occurred,loss_reason2_qty,loss_reason2_unit,loss_reason3_occurred,loss_reason3_qty,loss_reason3_unit,ph_saq07_loss,total_loss_qty,household_size,region_code,zone_code,woreda_code,is_rural,survey_year,region_name,rainfall_belg_mm,rainfall_belg_pct_of_avg,rainfall_meher_mm,rainfall_meher_pct_of_avg,rainfall_annual_mm,rainfall_annual_pct_of_avg
1010101601002,2.0,MAIZE,field_crop,95.0,5.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,2.0,,8.0,1,1.0,1.0,1.0,2011,Tigray,120.64809593999999,112.0,643.046036,95.0,800.2840775,96.3
1010101601002,3.0,MILLET,field_crop,95.0,5.0,0.0,0.0,0.0,0.0,100.0,2.0,,,2.0,2.0,2.0,1.0,8.0,2.0,0.0,200.0,23.0,2.0,0.0,200.0,,,200.0,0.0,2.0,2.0,2.0,3.0,3.0,10.0,1.0,2.0,3.0,10.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,1.0,,8.0,1,1.0,1.0,1.0,2011,Tigray,120.64809593999999,112.0,643.046036,95.0,800.2840775,96.3
1010101601002,6.0,SORGHUM,field_crop,95.0,5.0,0.0,0.0,0.0,0.0,100.0,1.0,,,2.0,2.0,2.0,1.0,30.0,2.0,0.0,900.0,15.0,3.0,0.0,810.0,,,600.0,0.0,2.0,3.0,3.0,3.0,7.0,20.0,3.0,3.0,7.0,20.0,3.0,1.0,3.0,,10.0,,4.0,,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,,0.0,,2.0,120.0,1.0,0.0,,,0.0,,,2.0,120.0,8.0,1,1.0,1.0,1.0,2011,Tigray,120.64809593999999,112.0,643.046036,95.0,800.2840775,96.3
1010101601002,38.0,RED PEPPER,garden_crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,3.0,,8.0,1,1.0,1.0,1.0,2011,Tigray,120.64809593999999,112.0,643.046036,95.0,800.2840775,96.3
1010101601017,2.0,MAIZE,field_crop,95.0,5.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,1.0,,7.0,1,1.0,1.0,1.0,2011,Tigray,120.64809593999999,112.0,643.046036,95.0,800.2840775,96.3
1010101601017,3.0,MILLET,field_crop,95.0,5.0,0.0,0.0,0.0,0.0,100.0,1.0,,,2.0,2.0,2.0,1.0,18.0,2.0,0.0,480.0,3.0,3.0,0.0,470.0,,,80.0,0.0,2.0,3.0,3.0,3.0,6.0,24.0,2.0,3.0,6.0,17.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,2.0,,7.0,1,1.0,1.0,1.0,2011,Tigray,120.64809593999999,112.0,643.046036,95.0,800.2840775,96.3
1010101601017,6.0,SORGHUM,field_crop,80.0,5.0,15.0,0.0,0.0,0.0,100.0,1.0,,,2.0,2.0,2.0,1.0,2.0,3.0,1.0,30.0,17.0,3.0,0.0,950.0,,,600.0,0.0,2.0,3.0,1.0,1.0,4.0,12.0,2.0,1.0,4.0,12.0,2.0,1.0,2.0,,12.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,1.0,,7.0,1,1.0,1.0,1.0,2011,Tigray,120.64809593999999,112.0,643.046036,95.0,800.2840775,96.3
1010101601017,38.0,RED PEPPER,garden_crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,1.0,,7.0,1,1.0,1.0,1.0,2011,Tigray,120.64809593999999,112.0,643.046036,95.0,800.2840775,96.3
1010101601034,2.0,MAIZE,field_crop,95.0,5.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,1.0,,1.0,1,1.0,1.0,1.0,2011,Tigray,120.64809593999999,112.0,643.046036,95.0,800.2840775,96.3
1010101601034,,,garden_crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,1.0,1.0,1.0,2011,Tigray,120.64809593999999,112.0,643.046036,95.0,800.2840775,96.3
